k,trial,seed,observed_hop,cep_50,cep_95,mean_err,std_err,n_samples,n_uavs,n_edges,test_uav_id,ground_truth_x,ground_truth_y,ground_truth_z,wall_time_s
1,28,1100028,1,17.4594,18.9566,14.9798,3.6618,275,6,13,3,89.994,18.297,50.0,50.85
1,31,1100031,1,8.2846,9.7991,8.2383,0.9582,285,6,14,3,-69.669,24.589,50.0,50.87
1,29,1100029,1,6.7617,6.9883,4.9664,2.019,378,6,14,3,10.164,-62.679,50.0,50.88
1,30,1100030,1,2.7796,4.5224,2.9445,0.8093,601,6,14,3,-58.05,-24.742,50.0,50.89
1,32,1100032,1,3.9232,12.3579,7.3093,4.3926,311,6,14,3,-66.725,-5.335,50.0,50.83
1,34,1100034,1,4.5052,6.8964,5.1423,1.2527,279,6,14,3,84.287,-12.369,50.0,50.84
1,33,1100033,1,9.1263,11.6478,9.5675,1.4144,315,6,14,3,72.595,67.139,50.0,50.86
1,35,1100035,1,5.2383,5.2908,5.2381,0.0475,345,6,14,3,-60.945,-19.651,50.0,50.83
1,36,1100036,1,3.8896,10.0932,4.2587,2.2166,275,6,14,3,71.703,-33.599,50.0,50.84
1,37,1100037,1,7.2457,9.3155,7.0646,0.9864,278,6,14,3,63.63,-42.041,50.0,50.88
1,38,1100038,1,1.805,5.8266,3.2319,1.7419,258,6,14,3,80.275,55.548,50.0,50.88
1,39,1100039,1,7.0799,7.1621,6.8388,0.2985,356,6,13,3,-24.425,-54.894,50.0,50.87
1,40,1100040,1,1.9743,2.6837,2.1762,0.3801,279,6,14,3,-63.844,48.095,50.0,50.85
1,41,1100041,1,7.0994,10.79,7.6538,2.4183,317,6,13,3,-19.923,91.514,50.0,50.86
1,42,1100042,1,6.742,7.7696,6.0425,1.6686,357,6,14,3,-68.384,1.322,50.0,50.86
1,43,1100043,1,5.7169,5.7957,5.7182,0.0423,279,6,14,3,-69.696,10.349,50.0,50.86
1,44,1100044,1,8.221,8.6446,8.3558,0.1944,278,6,14,3,-4.778,-61.303,50.0,50.86
1,46,1100046,1,9.6449,9.7069,9.643,0.0475,304,6,13,3,89.985,18.869,50.0,50.87
1,47,1100047,1,2.7526,3.9788,3.086,0.5102,317,6,14,3,-59.171,57.512,50.0,50.87
1,45,1100045,1,9.9654,13.6634,10.8223,1.9671,310,6,14,3,-6.169,95.67,50.0,50.89
1,48,1100048,1,3.171,4.7543,3.4151,0.8852,600,6,14,3,24.931,-61.274,50.0,50.87
